cityName,address,name,minRateId
成都市,成都市新都区新力路9号,万马爱充新都汉城站,20771
苏州市,苏州市虎丘区滨河路2088号地下B2层P1区（车位号B022到B025，B056到B063）,万马爱充蓝天商务广场站,10086
海口市,海口市琼山区滨江西路南侧响水湾度假公寓,万马爱充智龙响水湾站,19246
南京市,南京市玄武区长江路300号圣和府邸酒店地下停车场B3层,万马爱充圣和府邸酒店站,19357
南京市,南京市浦口区浦口大道18号红星美凯龙地下停车场B2层D区,万马爱充红星美凯龙站,19357
福州市,福建省福州市马尾区罗星街道济安路图书馆立体停车场,万马爱充马尾图书馆站,20714
上海市,上海市闵行区华翔路3799弄18号,万马爱充华翔路站,12415
西安市,陕西省西安市未央区三桥街道西三环与石化大道交会处路东南500米,万马爱充西三环中石化站,15490
深圳市,广东省深圳市光明区田园路8号,万马爱充公明田园路站,12335
武汉市,湖北省武汉市江岸区三眼桥路荷花苑小区北停车场,万马爱充竹叶山站,19364
北京市,北京市房山区月华大街15号苏庄西区停车场,万马爱充苏庄西区停车场站,19255
杭州市,滨江区秋溢路与江虹路交叉口往东100米（进门后左拐）,万马爱充天和高科站,16738
重庆市,重庆市渝中区美专校街66号附1号地下车库负一楼,万马爱充牛角沱站,20723
重庆市,重庆市大渡口区双城路163号兄弟装饰旁,万马爱充中豪公园站,20723
苏州市,苏州市工业园区八达街111号中衡设计大厦B2层（入口处直行15米）,万马爱充衡艺广场站,18437
重庆市,重庆市沙坪坝区长春沟217路车站内,万马爱充217路队站,20723
重庆市,重庆市渝北区空港工业园区42号地块内（空港公交枢纽站内）,万马爱充渝北空港站,20784
西安市,陕西省西安市未央区三桥街道张万村北中石油加油站内,万马爱充阿房一路站,16124
西安市,陕西省西安市未央区广安路与新兴路交叉口向东100米路北,万马爱充新房村中石油站,16124
杭州市,浙江省杭州市江干区景昙路9号地下车库夹层,万马爱充杭州大厦501站,16738
苏州市,苏州市高新区玉山路99号钻石广场地下B1层（车位号55到72）,万马爱充钻石广场站,12405
福州市,福建省福州市晋安区新店镇审知路西陇佳园北侧停车场,万马爱充西垅佳园站,20714
成都市,四川省成都市双流区中和二街66号,万马爱充军安卫士花园站,20771
苏州市,苏州市园区四季路1号李公堤三期基金博物馆入口地下B1层E区（车位号E115到E126）,万马爱充李公堤站,18437
三明市,福建省三明市三元区工业南路三明站公交枢纽站,万马爱充三明公交枢纽站,19373
泉州市,福建省泉州市丰泽区城东街道城华南路火车站,万马爱充泉州火车东站,19375
上海市,上海市宝山区盘古路829号宝闵汽车修理中心内,万马爱充盘古路站,6866
苏州市,苏州市吴中区230省道189号乐汇城停车场（靠近藏福东路侧）,万马爱充港龙乐汇城站,10086
武汉市,湖北省武汉市洪山区创业街十一幢12号楼生鲜批发市场旁,万马爱充光谷创业街站,19364
西安市,陕西省西安市未央区孙武路10号,万马爱充新军寨站,16124
苏州市,江苏省苏州市吴中区运澄路36号（北疆枫叶园度假村西南门）,万马爱充青剑湖站,6890
苏州市,苏州市相城区润元路366号梦多多小镇地下负二层左拐到底,万马爱充哥伦布邻街站,18437
苏州市,苏州市相城区相城大道1160号（红星·美凯龙停车场，靠澄阳路出入口处）,万马爱充中翔站,19274
深圳市,广东省深圳市宝安区宝安大道6267号世峰大厦,万马爱充福永世峰大厦站,10084
深圳市,广东省深圳市宝安区石岩街道应人石社区伟泰路23号,万马爱充伟泰路站,10080
南京市,南京市雨花台区玉兰路88号，南部创业南面地面停车场,万马爱充南部创业园站,19357
泉州市,福建省泉州市鲤城区紫山路10号江南高新科技园,万马爱充江南高新科技园站,19375
福州市,福建省福州市仓山区凤冈路66号金山文体中心,万马爱充金山文体中心站,20714
广州市,广东省广州市白云区沙亭北路沙亭岗小学附近,万马爱充沙亭北路站,19283
杭州市,浙江省杭州市余杭区向往街1008号,万马爱充乐富海邦站,16739
杭州市,浙江省杭州市江干区艮山东路182号天达大厦，地下车库负一层,万马爱充天达大厦站,16739
福州市,福建省福州市鼓楼区五四路128号恒力城写字楼地面停车场西南区域,万马爱充恒力城站,20714
无锡市,无锡市梁溪区锡沪中路55号弘阳广场北门停车场（广瑞路入口直行200米）,万马爱充弘阳家居站,16735
武汉市,湖北省武汉市青山区白云路P3停车场（东广场P3入口左侧）,万马爱充武汉站P3停车场站,19364
南京市,南京市栖霞区尧新大道88号，南京金圣泰洗化有限公司内地面停车场,万马爱充尧新大道站,19357
福州市,福建省福州市鼓楼区铜盘路左海公园北大门旁停车场,万马爱充左海公园北门站,20714
无锡市,无锡市梁溪区通扬南路251号汇普大厦动力路入口（B1层右拐20米右拐到底）,万马爱充汇普金融大厦站,16744
无锡市,无锡市梁溪区塘南路198号铺宝宝地下二层（B2层右拐20米右拐到底）,万马爱充优客金街站,16744
广州市,广东省广州市番禺区市莲路28号石基嘉成连锁酒店石基店西北,万马爱充番禺石基站,20777
无锡市,无锡市新吴区长江北路6号（百事达大厦地面停车场）,万马爱充迈朋酒店站,16735
